proteinId	description	modelnotes	defline
1317870	PL3_2		Polysaccharide Lyase Family 3 protein
1317914	DOC2-DOC2-GH10		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
1318069	GT32		Glycosyltransferase Family 32 protein
1318541	GH11		Glycoside Hydrolase Family 11 protein
1318560	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1318731	GT71		Glycosyltransferase Family 71 protein
1318968	CBM48		Carbohydrate-Binding Module Family 48 protein
1319055	GT76		Glycosyltransferase Family 76 protein
1319262	CBM18		Carbohydrate-Binding Module Family 18 protein
1319498	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1319506	EXPN		Distantly related to plant expansins
1319511	GT2		Glycosyltransferase Family 2 protein
1319533	GH11		Glycoside Hydrolase Family 11 protein
1319604	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1320330	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
1320650	DOC2		Non-Catalytic Module Family DOC2
1320755	GH3	fragment N-term;	Glycoside Hydrolase Family 3 protein
1321652	DOC2		Non-Catalytic Module Family DOC2
1322209	CE4		Carbohydrate Esterase Family 4 protein
1322229	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
1322299	CE6-DOC2	(fragment)  splicing problem;	Carbohydrate Esterase Family 6  / Non-Catalytic Module Family DOC2
1322980	DOC2		Non-Catalytic Module Family DOC2
1322989	CBM1-PL3_2		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
1323002	CE1-DOC2-DOC2-GH11		Carbohydrate Esterase Family 1  / Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 11 protein
1324302	GH3	fragment N-term / C-term;	Glycoside Hydrolase Family 3 protein
1325288	GH114		Glycoside Hydrolase Family 114 protein
1327518	GH10-CBM1		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
1329937	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1331241	DOC2-DOC2-DOC2-CBM1-CBM1-CBM1-CBM1-CBM1-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1331981	CBM87-CE18		Carbohydrate-Binding Module Family 87  / Carbohydrate Esterase Family 18 protein
1332539	GH6	fragment C-term;	Glycoside Hydrolase Family 6 protein
1334034	CBM1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
1334748	CBM48-GH13_8		Carbohydrate-Binding Module Family 48  / Glycoside Hydrolase Family 13 protein
1335540	DOC2-DOC2-DOC2-CBM1-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1337575	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1337907	GH43_1		Glycoside Hydrolase Family 43 protein
1339530	GH3	(fragment)  splicing problem;	Glycoside Hydrolase Family 3 protein
1340108	CBM1		Carbohydrate-Binding Module Family 1 protein
1340494	GT2		Glycosyltransferase Family 2 protein
1340895	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1340998	CBM29-CBM1		Carbohydrate-Binding Module Family 29  / Carbohydrate-Binding Module Family 1 protein
1341325	DOC2		Non-Catalytic Module Family DOC2
1342252	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1342579	CBM18		Carbohydrate-Binding Module Family 18 protein
1342813	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1342825	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1343357	GT101	(fragment)  splicing problem;	Glycosyltransferase Family 101 protein
1344036	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1344313	CBM48		Carbohydrate-Binding Module Family 48 protein
1345476	GH11-GH11-GH11-CE4		Glycoside Hydrolase Family 11  / Carbohydrate Esterase Family 4 protein
1345796	GT2		Glycosyltransferase Family 2 protein
1346175	PL4-DOC2		Polysaccharide Lyase Family 4  / Non-Catalytic Module Family DOC2
1346626	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1346628	GT10		Glycosyltransferase Family 10 protein
1347883	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
1349496	CBM18		Carbohydrate-Binding Module Family 18 protein
1352658	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1352892	CBM18		Carbohydrate-Binding Module Family 18 protein
1353671	DOC2-DOC2-DOC2-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1353726	EXPN		Distantly related to plant expansins
1353824	CBM18		Carbohydrate-Binding Module Family 18 protein
1354026	CBM18		Carbohydrate-Binding Module Family 18 protein
1354103	GH6	(fragment)  splicing problem;	Glycoside Hydrolase Family 6 protein
1354764	DOC2		Non-Catalytic Module Family DOC2
1355486	GH6	(fragment)  splicing problem;	Glycoside Hydrolase Family 6 protein
1356993	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1357013	DOC2-DOC2		Non-Catalytic Module Family DOC2
1358037	CBM18		Carbohydrate-Binding Module Family 18 protein
1358557	CBM18		Carbohydrate-Binding Module Family 18 protein
1359030	GT2		Glycosyltransferase Family 2 protein
1359089	GT2		Glycosyltransferase Family 2 protein
1359307	CBM21		Carbohydrate-Binding Module Family 21 protein
1359850	PL3_2		Polysaccharide Lyase Family 3 protein
1360937	CE6	fragment N-term;	Carbohydrate Esterase Family 6 protein
1361686	GH1	fragment N-term / C-term;	Glycoside Hydrolase Family 1 protein
1361982	GT20		Glycosyltransferase Family 20 protein
1362515	CBM18		Carbohydrate-Binding Module Family 18 protein
1362789	GH1		Glycoside Hydrolase Family 1 protein
1363312	DOC2		Non-Catalytic Module Family DOC2
1365079	DOC2-DOC2-DOC2-DOC2-CBM18-CBM18		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 18 protein
1366067	DOC2-DOC2		Non-Catalytic Module Family DOC2
1367557	DOC2-DOC2		Non-Catalytic Module Family DOC2
1368441	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1368843	GH31		Glycoside Hydrolase Family 31 protein
1369153	GH5_7	fragment N-term / C-term;	Glycoside Hydrolase Family 5 protein
1369872	CBM18		Carbohydrate-Binding Module Family 18 protein
1369885	DOC2-DOC2		Non-Catalytic Module Family DOC2
1370512	GT17		Glycosyltransferase Family 17 protein
1371179	GH5_4	(fragment)  splicing problem;	Glycoside Hydrolase Family 5 protein
1371670	DOC2-DOC2		Non-Catalytic Module Family DOC2
1371962	DOC2-DOC2-DOC2-DOC2-CBM18-CBM18		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 18 protein
1372376	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1373467	CE6-DOC2		Carbohydrate Esterase Family 6  / Non-Catalytic Module Family DOC2
1373850	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1374365	GT2		Glycosyltransferase Family 2 protein
1375401	CBM18		Carbohydrate-Binding Module Family 18 protein
1376214	PL3_2		Polysaccharide Lyase Family 3 protein
1376420	CBM18		Carbohydrate-Binding Module Family 18 protein
1377532	GT2		Glycosyltransferase Family 2 protein
1377882	CBM1		Carbohydrate-Binding Module Family 1 protein
1378359	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1379752	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1379922	GH18		Glycoside Hydrolase Family 18 protein
1379983	CBM18		Carbohydrate-Binding Module Family 18 protein
1380694	EXPN		Distantly related to plant expansins
1380738	GT2		Glycosyltransferase Family 2 protein
1380917	DOC2-DOC2-DOC2-DOC2	fragment N-term;	Non-Catalytic Module Family DOC2
1382378	CBM18		Carbohydrate-Binding Module Family 18 protein
1382384	GH39-CBM13-DOC2		Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1382610	DOC2-DOC2-DOC2-CBM18		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 18 protein
1382626	DOC2-DOC2-DOC2-CBM18		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 18 protein
1382721	GH115	fragment N-term / C-term;	Glycoside Hydrolase Family 115 protein
1383944	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1385416	DOC2		Non-Catalytic Module Family DOC2
1385644	CBM18		Carbohydrate-Binding Module Family 18 protein
1385813	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1387100	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1388463	CBM18		Carbohydrate-Binding Module Family 18 protein
1388785	CBM1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
1388798	CBM1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
1389005	CBM18		Carbohydrate-Binding Module Family 18 protein
1389377	DOC2-DOC2		Non-Catalytic Module Family DOC2
1392576	DOC2-DOC2		Non-Catalytic Module Family DOC2
1393922	DOC2		Non-Catalytic Module Family DOC2
1394421	CBM18		Carbohydrate-Binding Module Family 18 protein
1395048	GT2		Glycosyltransferase Family 2 protein
1395063	GT2		Glycosyltransferase Family 2 protein
1395146	GT2		Glycosyltransferase Family 2 protein
1395179	GT2		Glycosyltransferase Family 2 protein
1395181	GT2		Glycosyltransferase Family 2 protein
1395206	GT2		Glycosyltransferase Family 2 protein
1395216	GT34		Glycosyltransferase Family 34 protein
1396562	GH11		Glycoside Hydrolase Family 11 protein
1397067	EXPN		Distantly related to plant expansins
1397973	DOC2-DOC2		Non-Catalytic Module Family DOC2
1399420	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1400594	DOC2-DOC2		Non-Catalytic Module Family DOC2
1400906	CBM26-CBM26		Carbohydrate-Binding Module Family 26 protein
1401004	GT17		Glycosyltransferase Family 17 protein
1401830	GH11		Glycoside Hydrolase Family 11 protein
1401882	CBM18		Carbohydrate-Binding Module Family 18 protein
1402269	CBM1		Carbohydrate-Binding Module Family 1 protein
1402564	GH5_7	fragment N-term;	Glycoside Hydrolase Family 5 protein
1403593	DOC2-DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1403923	DOC2		Non-Catalytic Module Family DOC2
1404268	DOC2		Non-Catalytic Module Family DOC2
1404272	DOC2		Non-Catalytic Module Family DOC2
1404291	DOC2-DOC2		Non-Catalytic Module Family DOC2
1404292	DOC2		Non-Catalytic Module Family DOC2
1404769	DOC2-DOC2	fragment N-term;	Non-Catalytic Module Family DOC2
1405744	GH5_4	fragment C-term;	Glycoside Hydrolase Family 5 protein
1406696	CBM1		Carbohydrate-Binding Module Family 1 protein
1406701	CBM18		Carbohydrate-Binding Module Family 18 protein
1407013	GH3		Glycoside Hydrolase Family 3 protein
1407127	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1407525	DOC2-DOC2-DOC2-CBM1-CBM1-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1407570	DOC2-DOC2		Non-Catalytic Module Family DOC2
1407838	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1408109	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1408643	DOC2-DOC2-DOC2-CBM1-CBM1-CBM1-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1408658	DOC2-DOC2-DOC2-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1408960	CBM18		Carbohydrate-Binding Module Family 18 protein
1409667	CBM1		Carbohydrate-Binding Module Family 1 protein
1409792	DOC2-DOC2-DOC2-GH45	fragment C-term;	Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
1409827	DOC2-DOC2	fragment C-term;	Non-Catalytic Module Family DOC2
1415747	CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1415789	CBM10		Carbohydrate-Binding Module Family 10 protein
1415859	DOC2-DOC2-GH6-GH6-DOC2		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1415886	DOC2-DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
1415924	CBM1		Carbohydrate-Binding Module Family 1 protein
1415960	CBM18		Carbohydrate-Binding Module Family 18 protein
1416123	CBM1-CE4		Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 4 protein
1416128	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1416185	CBM1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
1416189	CBM1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
1416532	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1416536	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1416541	GH6	fragment C-term;	Glycoside Hydrolase Family 6 protein
1416542	GH6	(fragment)  splicing problem;	Glycoside Hydrolase Family 6 protein
1416570	GH3		Glycoside Hydrolase Family 3 protein
1416608	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1416609	DOC2-DOC2	fragment C-term;	Non-Catalytic Module Family DOC2
1416645	DOC2-DOC2		Non-Catalytic Module Family DOC2
1416803	GT2		Glycosyltransferase Family 2 protein
1416903	DOC2-DOC2		Non-Catalytic Module Family DOC2
1417100	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1417106	CE4		Carbohydrate Esterase Family 4 protein
1417414	DOC2-DOC2		Non-Catalytic Module Family DOC2
1417446	GH11		Glycoside Hydrolase Family 11 protein
1417447	GH11		Glycoside Hydrolase Family 11 protein
1417449	GH11		Glycoside Hydrolase Family 11 protein
1417453	GH11		Glycoside Hydrolase Family 11 protein
1417454	GH11		Glycoside Hydrolase Family 11 protein
1417455	GH10-CBM1		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
1417468	GH10-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1417501	GH5_5-CBM10-CBM10-GH5_5-CBM10-DOC2-DOC2		Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 10  / Non-Catalytic Module Family DOC2
1417503	GH5_5-CBM10-CBM10-GH5_5-CBM10-CBM10-GH5_5-CBM10-CBM10-DOC2-DOC2		Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 10  / Non-Catalytic Module Family DOC2
1417755	DOC2		Non-Catalytic Module Family DOC2
1417847	EXPN-CBM63-DOC2-DOC2		Distantly related to plant expansins / Carbohydrate-Binding Module Family 63  / Non-Catalytic Module Family DOC2
1418051	GH39-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1418431	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1418462	DOC2		Non-Catalytic Module Family DOC2
1418556	CBM35-GH26		Carbohydrate-Binding Module Family 35  / Glycoside Hydrolase Family 26 protein
1418620	CBM18		Carbohydrate-Binding Module Family 18 protein
1418649	DOC2-DOC2-DOC2-CBM1-CBM1-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1418658	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1418660	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1418668	CE15-DOC2-DOC2		Carbohydrate Esterase Family 15  / Non-Catalytic Module Family DOC2
1418673	CBM1-CE4	(fragment)  splicing problem;	Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 4 protein
1418892	CE8-CBM1		Carbohydrate Esterase Family 8  / Carbohydrate-Binding Module Family 1 protein
1418939	GH11-DOC2-DOC2-DOC2-GH11-CE4		Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 4 protein
1419092	DOC2		Non-Catalytic Module Family DOC2
1419285	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1419353	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
1419523	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
1419524	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
1419675	CBM18		Carbohydrate-Binding Module Family 18 protein
1419694	CBM21		Carbohydrate-Binding Module Family 21 protein
1420402	DOC2-DOC2-GH45		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
1420452	CBM18		Carbohydrate-Binding Module Family 18 protein
1420570	CBM18		Carbohydrate-Binding Module Family 18 protein
1420624	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1420635	DOC2-DOC2-DOC2-EXPN		Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
1420710	GT2		Glycosyltransferase Family 2 protein
1420763	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1420883	EXPN		Distantly related to plant expansins
1420884	EXPN		Distantly related to plant expansins
1420927	CBM1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
1420928	CBM1-CE12		Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 12 protein
1421121	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1421142	CBM1-GH6		Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
1421267	GT2	(fragment)  splicing problem;	Glycosyltransferase Family 2 protein
1421280	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1421303	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
1421371	CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1421677	GH6	(fragment)  splicing problem;	Glycoside Hydrolase Family 6 protein
1421726	CBM18-CBM18-CE4		Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
1422142	CBM1-PL3_2		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
1422156	GT71		Glycosyltransferase Family 71 protein
1422157	CE8		Carbohydrate Esterase Family 8 protein
1422177	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1422581	GH3		Glycoside Hydrolase Family 3 protein
1422582	GH3		Glycoside Hydrolase Family 3 protein
1422588	GH3		Glycoside Hydrolase Family 3 protein
1422595	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1422662	GH5_7-CBM1-DOC2-DOC2		Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 1  / Non-Catalytic Module Family DOC2
1422695	GH3		Glycoside Hydrolase Family 3 protein
1422698	GH3	fragment N-term / C-term;	Glycoside Hydrolase Family 3 protein
1422832	CBM1		Carbohydrate-Binding Module Family 1 protein
1422856	PL4		Polysaccharide Lyase Family 4 protein
1422936	GT34		Glycosyltransferase Family 34 protein
1422955	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1423163	GT2		Glycosyltransferase Family 2 protein
1423180	CBM18		Carbohydrate-Binding Module Family 18 protein
1423326	CBM18-CBM18-CBM18-GH18		Carbohydrate-Binding Module Family 18  / Glycoside Hydrolase Family 18 protein
1423698	CBM18		Carbohydrate-Binding Module Family 18 protein
1423712	GH43_1		Glycoside Hydrolase Family 43 protein
1423720	GH43_1		Glycoside Hydrolase Family 43 protein
1423740	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1423902	GH6	(fragment)  splicing problem;	Glycoside Hydrolase Family 6 protein
1423912	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1424081	CE4		Carbohydrate Esterase Family 4 protein
1424271	GH3		Glycoside Hydrolase Family 3 protein
1424273	CBM1-CE12		Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 12 protein
1424289	GH10-GH10		Glycoside Hydrolase Family 10 protein
1424355	GT34		Glycosyltransferase Family 34 protein
1424477	GH26-DOC2		Glycoside Hydrolase Family 26  / Non-Catalytic Module Family DOC2
1424560	PL4		Polysaccharide Lyase Family 4 protein
1424561	PL4		Polysaccharide Lyase Family 4 protein
1424564	PL4		Polysaccharide Lyase Family 4 protein
1424576	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
1424660	GH16_21		Glycoside Hydrolase Family 16 protein
1424690	DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
1424765	CBM1		Carbohydrate-Binding Module Family 1 protein
1424769	GH5_7		Glycoside Hydrolase Family 5 protein
1424903	GH16_21		Glycoside Hydrolase Family 16 protein
1425181	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1425307	GH11	fragment C-term;	Glycoside Hydrolase Family 11 protein
1425351	GH11-DOC2	(fragment)  splicing problem;	Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2
1425451	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1425611	GT2		Glycosyltransferase Family 2 protein
1425852	PL4-CBM1-CE12		Polysaccharide Lyase Family 4  / Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 12 protein
1425915	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1425999	GH5_4		Glycoside Hydrolase Family 5 protein
1426006	CBM1-PL3_2		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
1426252	GT4		Glycosyltransferase Family 4 protein
1426421	DOC2-DOC2-DOC2-DOC2-DOC2-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1426458	DOC2		Non-Catalytic Module Family DOC2
1426582	DOC2-DOC2		Non-Catalytic Module Family DOC2
1426587	DOC2-DOC2		Non-Catalytic Module Family DOC2
1426644	DOC2-DOC2		Non-Catalytic Module Family DOC2
1426955	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1426997	CBM1		Carbohydrate-Binding Module Family 1 protein
1427111	GT101		Glycosyltransferase Family 101 protein
1427156	GH24-CBM18		Glycoside Hydrolase Family 24  / Carbohydrate-Binding Module Family 18 protein
1427222	DOC2-DOC2-DOC2-GH9		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 9 protein
1427272	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
1427446	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
1427513	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1427616	GT2		Glycosyltransferase Family 2 protein
1427728	CBM18-CBM18-CE4		Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
1427840	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1427843	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1428048	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1428231	DOC2		Non-Catalytic Module Family DOC2
1428526	DOC2-DOC2-DOC2-CBM1-CBM1-CBM1-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1428630	GH5_4		Glycoside Hydrolase Family 5 protein
1428733	CBM13-DOC2-DOC2-CE1		Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
1428738	CE1		Carbohydrate Esterase Family 1 protein
1428740	DOC2-DOC2-CBM13-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 13  / Carbohydrate Esterase Family 1 protein
1428980	GH11-DOC2-DOC2-DOC2-GH11		Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2
1429106	CBM18		Carbohydrate-Binding Module Family 18 protein
1429204	GH1		Glycoside Hydrolase Family 1 protein
1429284	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1429652	GH5_4-DOC2-DOC2		Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
1429656	GH5_4-DOC2-DOC2		Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
1429786	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1429800	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1429833	CBM1		Carbohydrate-Binding Module Family 1 protein
1429844	GH11-GH11-DOC2-DOC2-GH11-GH11-CE4		Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 4 protein
1429850	GH26-GH26-GH26-DOC2-DOC2		Glycoside Hydrolase Family 26  / Non-Catalytic Module Family DOC2
1429857	DOC2-DOC2		Non-Catalytic Module Family DOC2
1429858	DOC2-DOC2		Non-Catalytic Module Family DOC2
1429883	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1430052	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1430077	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
1430144	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1430169	DOC2-DOC2-DOC2-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1430172	DOC2-DOC2-DOC2-CBM1-CBM1-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1430173	DOC2-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1430183	DOC2-DOC2		Non-Catalytic Module Family DOC2
1430186	DOC2-DOC2		Non-Catalytic Module Family DOC2
1430280	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CE4		Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
1430463	CE2-CE2		Carbohydrate Esterase Family 2 protein
1430472	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1430512	GT20		Glycosyltransferase Family 20 protein
1430528	GH11-GH11-GH11-GH11-GH11-DOC2		Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2
1430600	PL4-CBM1-CE12		Polysaccharide Lyase Family 4  / Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 12 protein
1430931	CBM1		Carbohydrate-Binding Module Family 1 protein
1431074	DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
1431178	CBM18		Carbohydrate-Binding Module Family 18 protein
1431188	CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1431191	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
1431192	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
1431256	CBM18		Carbohydrate-Binding Module Family 18 protein
1431364	GT17		Glycosyltransferase Family 17 protein
1431385	GH5_4-DOC2-DOC2		Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
